                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.70356,                 0.5086,                 1.0333,                0.22928,                0.23059,                0.23071,                0.13254,                0.30262,                0.77052,                0.34253,              0.0008714,              0.0008714,              0.0008714
                     60,                0.69726,                0.47727,                 1.0287,                0.23673,                0.23654,                0.23813,                0.16675,                0.31227,                0.51065,                0.34664,              0.0008516,              0.0008516,              0.0008516
                     61,                0.72431,                0.49598,                 1.0398,                0.22727,                0.22719,                0.21569,                0.10542,                0.31021,                0.54745,                0.34178,              0.0008318,              0.0008318,              0.0008318
                     62,                0.69291,                0.51603,                 1.0191,                0.24224,                0.24053,                0.24037,                0.14177,                0.31594,                   0.45,                0.34875,               0.000812,               0.000812,               0.000812
                     63,                0.68476,                0.50628,                 1.0351,                0.24242,                0.24231,                0.24129,                0.14185,                0.30079,                0.61727,                0.34126,              0.0007922,              0.0007922,              0.0007922
                     64,                0.64557,                0.51137,                0.98362,                0.23998,                0.23864,                0.23937,                0.14908,                0.31929,                0.45563,                0.34761,              0.0007724,              0.0007724,              0.0007724
                     65,                0.63955,                 0.4847,                 1.0104,                0.23202,                0.23106,                0.22906,                0.13139,                0.31807,                0.55611,                0.35244,              0.0007526,              0.0007526,              0.0007526
                     66,                0.69733,                0.50172,                0.99052,                0.23919,                0.23485,                0.23769,                0.16561,                0.27978,                0.45791,                0.33947,              0.0007328,              0.0007328,              0.0007328
                     67,                0.67644,                0.49043,                 1.0153,                0.24046,                0.23861,                0.24111,                0.17715,                0.28648,                0.42622,                0.33566,               0.000713,               0.000713,               0.000713
                     68,                0.75042,                0.48919,                 1.0791,                0.23872,                 0.2404,                0.24235,                 0.1638,                 0.2823,                 0.4206,                0.33805,              0.0006932,              0.0006932,              0.0006932
                     69,                0.67647,                0.48175,                 1.0233,                0.23852,                0.23864,                0.23665,                0.15146,                0.26938,                 0.4218,                0.33378,              0.0006734,              0.0006734,              0.0006734
                     70,                0.63441,                0.44577,                0.97534,                 0.2463,                0.24621,                0.24615,                 0.1852,                0.28037,                0.37239,                0.34232,              0.0006536,              0.0006536,              0.0006536
                     71,                0.66162,                0.45703,                 1.0158,                0.24617,                0.24621,                0.24793,                0.17962,                0.26975,                0.43574,                0.32986,              0.0006338,              0.0006338,              0.0006338
                     72,                0.67521,                0.49447,                0.99232,                0.23844,                0.24053,                0.23553,                0.14387,                0.27181,                0.52293,                0.33361,               0.000614,               0.000614,               0.000614
                     73,                0.62883,                0.45624,                0.97845,                0.24224,                0.24432,                0.24315,                0.16602,                0.26315,                0.42524,                0.32796,              0.0005942,              0.0005942,              0.0005942
                     74,                0.61892,                0.43149,                0.96353,                0.24599,                0.24811,                0.24834,                0.18288,                0.26235,                0.36768,                0.32683,              0.0005744,              0.0005744,              0.0005744
